#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         140   -0.974409   -0.974111 4.23966e-05
         141   -0.974181   -0.974111 4.20989e-05
         142   -0.973703   -0.974108 4.19003e-05
         143    -0.97336   -0.974103  4.1933e-05
         144   -0.974345   -0.974105 4.16754e-05
         145   -0.975084   -0.974111 4.19316e-05
         146   -0.973457   -0.974107 4.18834e-05
         147   -0.973909   -0.974106   4.162e-05
         148   -0.973642   -0.974103 4.14564e-05
         149   -0.974138   -0.974103 4.11788e-05
         150   -0.974227   -0.974104 4.09127e-05
         151   -0.974169   -0.974104  4.0644e-05
         152   -0.974077   -0.974104  4.0377e-05
         153   -0.974154   -0.974104 4.01145e-05
         154   -0.974121   -0.974104 3.98541e-05
         155   -0.974529   -0.974107 3.96913e-05
         156   -0.973703   -0.974104 3.95211e-05
         157   -0.974542   -0.974107 3.93677e-05
         158   -0.974555    -0.97411 3.92205e-05
         159    -0.97381   -0.974108 3.90192e-05
         160   -0.973706   -0.974106  3.8856e-05
         161   -0.974299   -0.974107 3.86332e-05
         162   -0.973774   -0.974105 3.84494e-05
         163   -0.974636   -0.974108 3.83513e-05
         164   -0.973707   -0.974106 3.81955e-05
         165   -0.974094   -0.974106 3.79641e-05
         166   -0.974424   -0.974107 3.77837e-05
         167   -0.974752   -0.974111 3.77542e-05
         168    -0.97455   -0.974114 3.76196e-05
         169   -0.974457   -0.974116 3.74516e-05
         170   -0.974333   -0.974117  3.7253e-05
         171    -0.97449   -0.974119  3.7099e-05
         172   -0.974662   -0.974123 3.70173e-05
         173   -0.974918   -0.974127  3.7088e-05
         174    -0.97304   -0.974121 3.73978e-05
         175   -0.974419   -0.974123 3.72228e-05
         176   -0.973612    -0.97412  3.7124e-05
         177    -0.97362   -0.974117 3.70215e-05
         178   -0.974638    -0.97412 3.69293e-05
         179   -0.973492   -0.974116 3.68889e-05
         180   -0.974308   -0.974117 3.66993e-05
         181   -0.974767   -0.974121 3.66715e-05
         182    -0.97413   -0.974121   3.647e-05
         183   -0.973635   -0.974118 3.63671e-05
         184   -0.974158   -0.974119 3.61701e-05
         185   -0.973568   -0.974116 3.60968e-05
         186   -0.974393   -0.974117 3.59336e-05
         187    -0.97452   -0.974119 3.58061e-05
         188   -0.973706   -0.974117 3.56829e-05
         189     -0.9747    -0.97412 3.56274e-05
         190   -0.974082    -0.97412 3.54404e-05
         191   -0.974119    -0.97412 3.52548e-05
         192   -0.974481   -0.974122 3.51212e-05
         193   -0.973846    -0.97412 3.49684e-05
         194   -0.974229   -0.974121 3.47926e-05
         195   -0.975435   -0.974128 3.52608e-05
         196   -0.973344   -0.974124  3.5307e-05
         197   -0.974365   -0.974125  3.5149e-05
         198   -0.974037   -0.974124 3.49743e-05
         199   -0.973534   -0.974122  3.4924e-05
         200   -0.973398   -0.974118 3.49362e-05
         201    -0.97481   -0.974121 3.49318e-05
         202   -0.974868   -0.974125 3.49536e-05
         203   -0.974945   -0.974129 3.50141e-05
         204   -0.974141   -0.974129 3.48425e-05
         205   -0.973894   -0.974128 3.46914e-05
         206   -0.974109   -0.974128 3.45231e-05
         207   -0.973935   -0.974127 3.43689e-05
         208   -0.973915   -0.974126 3.42188e-05
         209    -0.97368   -0.974124 3.41216e-05
         210   -0.974792   -0.974127 3.41073e-05
         211   -0.974322   -0.974128 3.39582e-05
         212   -0.974144   -0.974128 3.37981e-05
         213   -0.973765   -0.974126 3.36824e-05
         214   -0.973982   -0.974126 3.35317e-05
         215    -0.97379   -0.974124 3.34121e-05
         216   -0.973235    -0.97412 3.35099e-05
         217   -0.974672   -0.974122 3.34518e-05
         218   -0.974624   -0.974125 3.33774e-05
         219   -0.973953   -0.974124 3.32342e-05
         220    -0.97418   -0.974124 3.30841e-05
         221   -0.974444   -0.974126 3.29661e-05
         222   -0.973509   -0.974123 3.29343e-05
         223   -0.973574    -0.97412 3.28785e-05
         224   -0.973958    -0.97412 3.27397e-05
         225   -0.974384   -0.974121 3.26153e-05
         226   -0.974248   -0.974121 3.24758e-05
         227   -0.974207   -0.974122 3.23349e-05
         228   -0.974164   -0.974122 3.21936e-05
         229   -0.973594    -0.97412 3.21354e-05
         230   -0.974187    -0.97412  3.1997e-05
         231    -0.97391   -0.974119 3.18714e-05
         232   -0.974795   -0.974122  3.1867e-05
         233   -0.974771   -0.974125 3.18516e-05
         234    -0.97392   -0.974124 3.17275e-05
         235   -0.974649   -0.974126  3.1671e-05
         236   -0.974668   -0.974128   3.162e-05
         237   -0.974234   -0.974129 3.14897e-05
         238   -0.974513   -0.974131 3.13987e-05
         239   -0.974873   -0.974134 3.14207e-05
         240    -0.97464   -0.974136 3.13606e-05
         241   -0.973798   -0.974134 3.12618e-05
         242   -0.973613   -0.974132 3.12066e-05
         243   -0.973676    -0.97413 3.11347e-05
         244   -0.974049    -0.97413 3.10089e-05
         245    -0.97477   -0.974133 3.09922e-05
         246   -0.974191   -0.974133 3.08672e-05
         247   -0.973738   -0.974131 3.07835e-05
         248   -0.973794    -0.97413 3.06894e-05
         249   -0.973911   -0.974129 3.05787e-05
         250   -0.974701   -0.974131 3.05419e-05
         251   -0.974196   -0.974132 3.04213e-05
         252   -0.974822   -0.974134 3.04239e-05
         253   -0.973101    -0.97413 3.05764e-05
         254   -0.973735   -0.974129 3.04957e-05
         255   -0.973716   -0.974127 3.04189e-05
         256   -0.972955   -0.974122  3.0643e-05
         257   -0.974122   -0.974122 3.05237e-05
         258   -0.974255   -0.974123 3.04098e-05
         259   -0.973029   -0.974119 3.05844e-05
         260   -0.973878   -0.974118 3.04807e-05
         261   -0.973731   -0.974116 3.03999e-05
         262   -0.974277   -0.974117 3.02901e-05
         263   -0.974178   -0.974117 3.01758e-05
         264    -0.97438   -0.974118 3.00779e-05
         265   -0.973439   -0.974116 3.00733e-05
         266    -0.97381   -0.974114 2.99821e-05
         267   -0.974285   -0.974115 2.98766e-05
         268   -0.974365   -0.974116 2.97797e-05
         269   -0.974183   -0.974116 2.96701e-05
         270   -0.973898   -0.974115 2.95712e-05
         271   -0.973979   -0.974115 2.94664e-05
         272   -0.974228   -0.974115  2.9361e-05
         273   -0.973569   -0.974113 2.93215e-05
         274   -0.974078   -0.974113 2.92148e-05
         275   -0.973717   -0.974112 2.91441e-05
         276   -0.973848   -0.974111 2.90542e-05
         277   -0.974217   -0.974111 2.89519e-05
         278   -0.974335   -0.974112  2.8859e-05
         279   -0.973884   -0.974111 2.87671e-05
         280   -0.973827    -0.97411 2.86823e-05
         281   -0.973845   -0.974109 2.85957e-05
         282   -0.974047   -0.974109 2.84951e-05
         283   -0.974056   -0.974109 2.83951e-05
         284   -0.973825   -0.974108 2.83127e-05
         285   -0.974005   -0.974107 2.82156e-05
         286   -0.974952    -0.97411 2.82709e-05
         287    -0.97364   -0.974109 2.82199e-05
         288   -0.973536   -0.974107 2.81918e-05
