#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         167    0.900723    0.887398 0.000508245
         168    0.885168    0.887385 0.000505393
         169    0.884322    0.887367 0.000502727
         170    0.900323    0.887443 0.000505514
         171    0.899235    0.887512 0.000507239
         172    0.882335    0.887482 0.000505182
         173    0.887052     0.88748 0.000502268
         174    0.887663    0.887481 0.000499383
         175     0.88472    0.887465 0.000496778
         176    0.887372    0.887464 0.000493956
         177    0.882476    0.887436 0.000491968
         178    0.889947     0.88745 0.000489407
         179    0.892178    0.887477 0.000487385
         180    0.893581    0.887511 0.000485855
         181    0.884749    0.887495  0.00048341
         182    0.883472    0.887473  0.00048126
         183    0.888503    0.887479 0.000478663
         184    0.882002    0.887449 0.000476986
         185    0.884229    0.887432 0.000474725
         186    0.890268    0.887447 0.000472417
         187     0.89375    0.887481 0.000471092
         188    0.897184    0.887532 0.000471406
         189    0.894927    0.887571 0.000470532
         190    0.890608    0.887587 0.000468327
         191    0.884823    0.887573 0.000466099
         192    0.880396    0.887536 0.000465168
         193     0.89623    0.887581 0.000464934
         194     0.90162    0.887653 0.000468136
         195    0.885982    0.887644 0.000465814
         196    0.887948    0.887646  0.00046344
         197    0.879103    0.887603 0.000463112
         198    0.892638    0.887628  0.00046147
         199    0.867335    0.887526 0.000470283
         200    0.881626    0.887497 0.000468856
         201    0.881319    0.887466  0.00046753
         202    0.894374      0.8875 0.000466464
         203    0.902886    0.887576 0.000470284
         204    0.890203    0.887589 0.000468155
         205    0.883077    0.887567 0.000466388
         206    0.884688    0.887553 0.000464333
         207    0.876591      0.8875   0.0004651
         208    0.892409    0.887523 0.000463463
         209    0.895125     0.88756  0.00046267
         210    0.887762    0.887561 0.000460468
         211    0.871864    0.887486 0.000464256
         212    0.880076    0.887451  0.00046338
         213    0.880247    0.887418 0.000462438
         214    0.883795    0.887401 0.000460587
         215    0.886032    0.887394 0.000458488
         216    0.892514    0.887418 0.000456978
         217    0.883657    0.887401 0.000455201
         218    0.893557    0.887429 0.000453987
         219     0.87809    0.887386 0.000453913
         220    0.889074    0.887394 0.000451914
         221     0.88065    0.887363 0.000450899
         222     0.88185    0.887339 0.000449551
         223       0.896    0.887377  0.00044921
         224    0.885248    0.887368 0.000447305
         225    0.891592    0.887387 0.000445711
         226    0.883331    0.887369   0.0004441
         227    0.892399    0.887391 0.000442696
         228    0.889108    0.887398 0.000440818
         229    0.892123    0.887419 0.000439376
