#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         167    0.323852    0.329706 0.000325452
         168    0.327637    0.329694 0.000323747
         169    0.326606    0.329676 0.000322347
         170    0.328232    0.329667 0.000320562
         171    0.328648    0.329661 0.000318743
         172    0.325745    0.329638 0.000317702
         173    0.323578    0.329603 0.000317791
         174    0.341387    0.329671   0.0003231
         175    0.329097    0.329668  0.00032127
         176    0.335062    0.329698 0.000320903
         177    0.335156    0.329729 0.000320568
         178    0.324553      0.3297 0.000320083
         179     0.33502     0.32973 0.000319672
         180    0.327303    0.329716  0.00031818
         181    0.325212    0.329692 0.000317394
         182    0.329581    0.329691 0.000315651
         183    0.333975    0.329714 0.000314793
         184    0.329502    0.329713 0.000313084
         185    0.335021    0.329742 0.000312704
         186    0.328696    0.329736 0.000311073
         187    0.326485    0.329719 0.000309895
         188    0.333453    0.329739 0.000308883
         189    0.325788    0.329718 0.000307955
         190    0.329615    0.329717 0.000306335
         191    0.327482    0.329706 0.000304954
         192    0.327987    0.329697 0.000303497
         193    0.330301      0.3297 0.000301941
         194     0.32599    0.329681 0.000300989
         195    0.319179    0.329627 0.000304225
         196    0.334947    0.329654 0.000303882
         197    0.327428    0.329643 0.000302549
         198    0.334015    0.329665 0.000301826
         199    0.334512    0.329689 0.000301291
         200    0.335826     0.32972 0.000301343
         201    0.323942    0.329691 0.000301211
         202     0.32118    0.329649 0.000302653
         203    0.324901    0.329625 0.000302064
         204    0.329803    0.329626 0.000300584
         205    0.330704    0.329632 0.000299164
         206    0.330552    0.329636 0.000297745
         207     0.32933    0.329635 0.000296311
         208    0.331925    0.329646  0.00029509
         209    0.333822    0.329666 0.000294354
         210    0.323878    0.329638  0.00029424
         211     0.32832    0.329632 0.000292912
         212    0.329058    0.329629 0.000291543
         213    0.333606    0.329648 0.000290771
         214    0.332046    0.329659 0.000289628
         215    0.331771    0.329669 0.000288448
         216    0.337983    0.329707 0.000289669
         217    0.325059    0.329686 0.000289125
         218    0.325439    0.329666 0.000288455
         219    0.330125    0.329668 0.000287145
         220    0.330613    0.329673 0.000285872
         221    0.326327    0.329658 0.000284979
         222     0.33375    0.329676 0.000284291
         223    0.333503    0.329693 0.000283534
         224    0.330395    0.329696 0.000282285
         225    0.325253    0.329677 0.000281721
         226    0.330544     0.32968   0.0002805
         227     0.32744    0.329671 0.000279438
         228    0.329993    0.329672 0.000278216
         229    0.332997    0.329687  0.00027738
         230    0.330078    0.329688 0.000276179
         231    0.330207     0.32969 0.000274993
