#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         144  -0.0109345 -0.00445093  0.00214906
         145  0.00505226 -0.00438539  0.00213524
         146   0.0284009 -0.00416082  0.00213239
         147   0.0108002 -0.00405905  0.00212031
         148   0.0306461 -0.00382455  0.00211891
         149  -0.0378533 -0.00405293  0.00211697
         150   0.0100262 -0.00395907  0.00210493
         151 -0.00272112 -0.00395088  0.00209101
         152   0.0263622 -0.00375145  0.00208674
         153  0.00717558 -0.00368003  0.00207432
         154  -0.0072625 -0.00370329  0.00206098
         155   -0.045214  -0.0039711  0.00206501
         156  -0.0276713 -0.00412303  0.00205736
         157   0.0001841 -0.00409559  0.00204444
         158  -0.0131831 -0.00415311  0.00203231
         159   0.0468709  -0.0038322   0.0020447
         160   0.0500894 -0.00349519  0.00205951
         161  -0.0134585 -0.00355708  0.00204765
         162  -0.0270525 -0.00370211  0.00204014
         163  0.00810844 -0.00362965  0.00202891
         164  -0.0129587 -0.00368654  0.00201733
         165   0.0083358 -0.00361368  0.00200642
         166  0.00906742 -0.00353728  0.00199579
         167  -0.0117084 -0.00358621  0.00198444
         168   -0.023606 -0.00370538   0.0019762
         169  -0.0312153 -0.00386816   0.0019712
         170   0.0120531  -0.0037745  0.00196183
         171 -0.00637586 -0.00378972  0.00195041
         172  0.00442716 -0.00374194  0.00193966
         173 -0.00338568 -0.00373988  0.00192845
         174  -0.0148602 -0.00380379  0.00191842
         175   -0.038512 -0.00400213  0.00191769
         176  -0.0133103 -0.00405501  0.00190752
         177 -0.00496762 -0.00406017  0.00189675
         178 -0.00985576 -0.00409273  0.00188637
         179  -0.0148076 -0.00415259  0.00187678
         180  -0.0932735 -0.00464771  0.00193056
         181  -0.0171748 -0.00471692  0.00192114
         182   0.0178144 -0.00459312  0.00191457
         183  -0.0174382 -0.00466331  0.00190539
         184  -0.0136161 -0.00471197  0.00189566
         185  0.00912224 -0.00463719  0.00188688
         186   0.0419353  -0.0043868  0.00189328
         187   0.0145025 -0.00428578  0.00188585
         188     0.06085 -0.00393932  0.00190738
         189   0.0271911 -0.00377461  0.00190438
         190   0.0136897 -0.00368269  0.00189658
         191  -0.0287092 -0.00381372  0.00189117
         192  -0.0101918 -0.00384694  0.00188161
         193 -0.00676702 -0.00386207  0.00187192
         194   0.0458274 -0.00360594  0.00187971
         195  -0.0172619 -0.00367597  0.00187138
         196  0.00033154 -0.00365552  0.00186194
         197   0.0214166 -0.00352825  0.00185684
         198   0.0381015   -0.003318  0.00185932
         199   0.0175597 -0.00321309  0.00185294
         200   0.0127554 -0.00313324  0.00184539
         201  0.00747474 -0.00308047  0.00183697
         202   0.0193116 -0.00296962  0.00183121
         203   0.0129952 -0.00289097  0.00182388
         204  -0.0161954 -0.00295619  0.00181611
         205   0.0195184 -0.00284656  0.00181055
         206  0.00920042 -0.00278808  0.00180271
         207   0.0137728 -0.00270807  0.00179577
         208  -0.0556668 -0.00296268   0.0018051
         209  0.00361666  -0.0029312  0.00179674
         210   0.0158227  -0.0028419   0.0017904
         211   0.0743481 -0.00247607   0.0018189
         212  -0.0198709 -0.00255812  0.00181217
         213  0.00102454  -0.0025413  0.00180374
         214  -0.0009093 -0.00253367  0.00179533
         215   0.0325479  -0.0023705  0.00179438
         216 -0.00011106 -0.00236004   0.0017861
         217 -0.00560834 -0.00237501  0.00177794
         218  -0.0041055 -0.00238295   0.0017698
         219  0.00283748 -0.00235911  0.00176188
         220  0.00053854 -0.00234594  0.00175392
         221  -0.0127976 -0.00239323  0.00174662
         222  0.00674768 -0.00235206  0.00173924
